ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
11,Kedah,P11,Pendang,0.88,0.06,0.01,70135,61692,0.8796178798032366,2013,Pakatan,PAS,Mohamad Bin Sabu,0,0,29527,0.47861959411268884,-2638,-0.04276081177462232,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,29527
11,Kedah,P11,Pendang,0.89,0.05,0.01,74867,62246,0.8314210533345799,2018,Pakatan,BERSATU,Wan Saifulruddin Bin Wan Jan,1,0,14901,0.23938887639366385,-11635,-0.18691964142274203,0.010000000000000009,-0.009999999999999995,4732,554,-0.04819682646865664,0,-8997,-0.1441588296481197,-0.239230717719025,4,3,14901
11,Kedah,P11,Pendang,0.89,0.05,0.01,74867,62246,0.8314210533345799,2018,PAS,PAS,Awang Bin Hashim,1,1,26536,0.4263085178164059,5808,0.09330720046268033,0.010000000000000009,-0.009999999999999995,4732,554,-0.04819682646865664,1,5808,0.09330720046268033,0.4263085178164059,4,1,10974.5
12,Kedah,P12,Jerai,0.79,0.15,0.06,74410,63662,0.8555570487837656,2013,BN,UMNO,Jamil Khir Bin Baharom,0,1,32429,0.5093933586755051,1196,0.01878671735101002,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,598
12,Kedah,P12,Jerai,0.8,0.14,0.06,79976,65736,0.8219465839751926,2018,BN,UMNO,Jamil Khir Bin Baharom,1,0,21773,0.3312188146525496,-539,-0.00819946452476573,0.010000000000000009,-0.009999999999999981,5566,2074,-0.03361046480857299,-1,-1735,-0.02698618187577575,-0.17817454402295546,3,2,21773
12,Kedah,P12,Jerai,0.79,0.15,0.06,74410,63662,0.8555570487837656,2013,Pakatan,PAS,Mohd Firdaus Bin Jaafar,0,0,31233,0.490606641324495,-1196,-0.01878671735101002,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,31233
12,Kedah,P12,Jerai,0.8,0.14,0.06,79976,65736,0.8219465839751926,2018,Pakatan,BERSATU,Akhramsyah Muammar Ubaidah Bin Sanusi,1,0,21651,0.3293629061701351,-661,-0.010055373007180237,0.010000000000000009,-0.009999999999999981,5566,2074,-0.03361046480857299,0,535,0.008731344343829784,-0.1612437351543599,3,3,21651
12,Kedah,P12,Jerai,0.8,0.14,0.06,79976,65736,0.8219465839751926,2018,PAS,PAS,Sabri Bin Azit,1,1,22312,0.3394182791773153,539,0.00819946452476573,0.010000000000000009,-0.009999999999999981,5566,2074,-0.03361046480857299,1,539,0.00819946452476573,0.3394182791773153,3,1,400
13,Kedah,P13,Sik,0.93,0.02,0.05,46786,41361,0.8840465096396358,2013,BN,UMNO,Mansor Bin Abd Rahman,0,1,22084,0.5339329319890719,2807,0.06786586397814366,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1403.5
13,Kedah,P13,Sik,0.93,0.02,0.05,50385,41928,0.8321524263173563,2018,BN,UMNO,Mansor Bin Abd Rahman,1,0,14870,0.3546556000763213,-5218,-0.12445144056477772,0,0,3599,567,-0.051894083322279516,-1,-8025,-0.1923173045429214,-0.17927733191275058,3,2,14870
13,Kedah,P13,Sik,0.93,0.02,0.05,46786,41361,0.8840465096396358,2013,Pakatan,PAS,Che Uda Bin Che Nik,0,0,19277,0.4660670680109282,-2807,-0.06786586397814366,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,19277
13,Kedah,P13,Sik,0.93,0.02,0.05,50385,41928,0.8321524263173563,2018,Pakatan,AMANAH,Azli Bin Uda,1,0,6970,0.16623735928257966,-13118,-0.3128696813585194,0,0,3599,567,-0.051894083322279516,0,-10311,-0.24500381738037574,-0.2998297087283485,3,3,6970
13,Kedah,P13,Sik,0.93,0.02,0.05,50385,41928,0.8321524263173563,2018,PAS,PAS,Ahmad Tarmizi Bin Sulaiman,1,1,20088,0.47910704064109905,5218,0.12445144056477772,0,0,3599,567,-0.051894083322279516,1,5218,0.12445144056477772,0.47910704064109905,3,1,6112
14,Kedah,P14,Merbok,0.65,0.17,0.18,85908,72954,0.8492107836289985,2013,BN,UMNO,Ismail Bin Daut,0,1,38538,0.5282506785097458,4122,0.05650135701949174,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2061
14,Kedah,P14,Merbok,0.69,0.15,0.15,87782,71350,0.8128090041238523,2018,BN,UMNO,Tajul Urus Bin Mat Zain,1,0,20830,0.29194113524877363,-10072,-0.14116327960756833,0.039999999999999925,-0.020000000000000018,1874,-1604,-0.036401779505146226,-1,-14194,-0.19766463662706008,-0.2363095432609722,3,2,20830
14,Kedah,P14,Merbok,0.65,0.17,0.18,85908,72954,0.8492107836289985,2013,Pakatan,PKR,Nor Azrina Binti Surip,0,0,34416,0.4717493214902541,-4122,-0.05650135701949174,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,34416
14,Kedah,P14,Merbok,0.69,0.15,0.15,87782,71350,0.8128090041238523,2018,Pakatan,PKR,Nor Azrina Binti Surip,1,1,30902,0.433104414856342,10072,0.14116327960756833,0.039999999999999925,-0.020000000000000018,1874,-1604,-0.036401779505146226,1,14194,0.19766463662706008,-0.038644906633912124,3,1,7118.666666666668
14,Kedah,P14,Merbok,0.69,0.15,0.15,87782,71350,0.8128090041238523,2018,PAS,PAS,Ahmad Fauzi Bin Ramli,1,0,19618,0.2749544498948844,-11284,-0.1581499649614576,0.039999999999999925,-0.020000000000000018,1874,-1604,-0.036401779505146226,NA,NA,NA,NA,3,3,19618
15,Kedah,P15,Sungai Petani,0.59,0.29,0.12,93176,79812,0.8565725079419593,2013,BN,UMNO,Syamsyul Anuar Bin Che Mey @ Ismail,0,0,34646,0.43409512354031976,-9548,-0.11963113316293289,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,34646
