ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
39,2013,TR,Dungun,P39,78174,0.96,0.04,0,IND,Mazlan Bin Harun,384
40,2018,TR,Kemaman,P40,107593,0.94,0.05,0.01,PAS,Che Alias Bin Hamid,39878
40,2018,TR,Kemaman,P40,107593,0.94,0.05,0.01,UMNO,Ahd Shabery Bin Cheek,37715
40,2018,TR,Kemaman,P40,107593,0.94,0.05,0.01,PKR,Mohd Huzaifah Bin Md Suhaimi,12911
40,2013,TR,Kemaman,P40,91942,0.93,0.06,0.01,UMNO,Ahd Shabery Bin Cheek,45525
40,2013,TR,Kemaman,P40,91942,0.93,0.06,0.01,PKR,Kamarudin Bin Chik,33219
41,2018,PN,Kepala Batas,P41,60523,0.79,0.17,0.04,UMNO,Reezal Merican Bin Naina Merican,22459
41,2018,PN,Kepala Batas,P41,60523,0.79,0.17,0.04,AMANAH,Zaidi Bin Zakaria,17723
41,2018,PN,Kepala Batas,P41,60523,0.79,0.17,0.04,PAS,Siti Mastura Binti Muhammad,12120
41,2013,PN,Kepala Batas,P41,51635,0.76,0.19,0.04,UMNO,Reezal Merican Bib Naina Merican,25128
41,2013,PN,Kepala Batas,P41,51635,0.76,0.19,0.04,PAS,Afnan Hamimi Bin Taib Azamudden,20952
42,2018,PN,Tasek Gelugor,P42,60850,0.78,0.15,0.07,UMNO,Shabudin Bin Yahaya,18547
42,2018,PN,Tasek Gelugor,P42,60850,0.78,0.15,0.07,BERSATU,Marzuki Bin Yahya,18466
42,2018,PN,Tasek Gelugor,P42,60850,0.78,0.15,0.07,PAS,Rizal Hafiz Bin Ruslan,14891
42,2013,PN,Tasek Gelugor,P42,54042,0.78,0.15,0.07,UMNO,Shabudin Bin Yahaya,24393
42,2013,PN,Tasek Gelugor,P42,54042,0.78,0.15,0.07,PAS,Abdul Rahman Bin B Maidin,21351
42,2013,PN,Tasek Gelugor,P42,54042,0.78,0.15,0.07,IND,Mohd Shariff Bin Omar,1590
43,2018,PN,Bagan,P43,71583,0.13,0.71,0.15,DAP,Lim Guan Eng,51653
43,2018,PN,Bagan,P43,71583,0.13,0.71,0.15,MCA,Lee Beng Seng,7751
